date,sessions
2024-01-01,8632
2024-01-02,8757
2024-01-03,9530
2024-01-04,9351
2024-01-05,8852
2024-01-06,6239
2024-01-07,5691
2024-01-08,9452
2024-01-09,9493
2024-01-10,9342
2024-01-11,9120
2024-01-12,8426
2024-01-13,6082
2024-01-14,6553
2024-01-15,9320
2024-01-16,9480
2024-01-17,9202
2024-01-18,8778
2024-01-19,8723
2024-01-20,6375
2024-01-21,6528
2024-01-22,9498
2024-01-23,9002
2024-01-24,9374
2024-01-25,9187
2024-01-26,8718
2024-01-27,6904
2024-01-28,6438
2024-01-29,9756
2024-01-30,9710
2024-01-31,9576
2024-02-01,10057
2024-02-02,8617
2024-02-03,6309
2024-02-04,6201
2024-02-05,10233
2024-02-06,9623
2024-02-07,9339
2024-02-08,8874
2024-02-09,8513
2024-02-10,6638
2024-02-11,6366
2024-02-12,10266
2024-02-13,10219
2024-02-14,9977
2024-02-15,9928
2024-02-16,9261
2024-02-17,6356
2024-02-18,6362
2024-02-19,10026
2024-02-20,10612
2024-02-21,9803
2024-02-22,8886
2024-02-23,9025
2024-02-24,6313
2024-02-25,6251
2024-02-26,10807
2024-02-27,10365
2024-02-28,9669
2024-02-29,9558
2024-03-01,9118
2024-03-02,6519
2024-03-03,6295
2024-03-04,9784
2024-03-05,10648
2024-03-06,10339
2024-03-07,9842
2024-03-08,8561
2024-03-09,6509
2024-03-10,6414
2024-03-11,9904
2024-03-12,10306
2024-03-13,9827
2024-03-14,10025
2024-03-15,8765
2024-03-16,6782
2024-03-17,6679
2024-03-18,9964
2024-03-19,10944
2024-03-20,10544
2024-03-21,10515
2024-03-22,9547
2024-03-23,7024
2024-03-24,6848
2024-03-25,9895
2024-03-26,9725
2024-03-27,10076
2024-03-28,10512
2024-03-29,9698
2024-03-30,6469
2024-03-31,6472
2024-04-01,10195
2024-04-02,10318
2024-04-03,10179
2024-04-04,9314
2024-04-05,9446
2024-04-06,7359
2024-04-07,6632
2024-04-08,9203
2024-04-09,10968
2024-04-10,10026
2024-04-11,10588
2024-04-12,9419
2024-04-13,6751
2024-04-14,6661
2024-04-15,11224
2024-04-16,10641
2024-04-17,10378
2024-04-18,9794
2024-04-19,9439
2024-04-20,6340
2024-04-21,6452
2024-04-22,9803
2024-04-23,9880
2024-04-24,10585
2024-04-25,9597
2024-04-26,9420
2024-04-27,7112
2024-04-28,6551
2024-04-29,9882
2024-04-30,10478
2024-05-01,10544
2024-05-02,9725
2024-05-03,9271
2024-05-04,6448
2024-05-05,6356
2024-05-06,9971
2024-05-07,10582
2024-05-08,10470
2024-05-09,9942
2024-05-10,8968
2024-05-11,7287
2024-05-12,6655
2024-05-13,9958
2024-05-14,10309
2024-05-15,9985
2024-05-16,10111
2024-05-17,9324
2024-05-18,6931
2024-05-19,6584
2024-05-20,9755
2024-05-21,10367
2024-05-22,10556
2024-05-23,10129
2024-05-24,9099
2024-05-25,5824
2024-05-26,6005
2024-05-27,10247
2024-05-28,9767
2024-05-29,10264
2024-05-30,10275
2024-05-31,9497
2024-06-01,6919
2024-06-02,6602
2024-06-03,10297
2024-06-04,10263
2024-06-05,10125
2024-06-06,10629
2024-06-07,8961
2024-06-08,7363
2024-06-09,6447
2024-06-10,9768
2024-06-11,10584
2024-06-12,10045
2024-06-13,9291
2024-06-14,9068
2024-06-15,7245
2024-06-16,6722
2024-06-17,10698
2024-06-18,9265
2024-06-19,9727
2024-06-20,10224
2024-06-21,9475
2024-06-22,7028
2024-06-23,5816
2024-06-24,10325
2024-06-25,10198
2024-06-26,10905
2024-06-27,9343
2024-06-28,9144
2024-06-29,6574
2024-06-30,6791
2024-07-01,9838
2024-07-02,9496
2024-07-03,10332
2024-07-04,10038
2024-07-05,9214
2024-07-06,6988
2024-07-07,6247
2024-07-08,10137
2024-07-09,9609
2024-07-10,10095
2024-07-11,9752
2024-07-12,8651
2024-07-13,7264
2024-07-14,6479
2024-07-15,10293
2024-07-16,9687
2024-07-17,10222
2024-07-18,8946
2024-07-19,8514
2024-07-20,6172
2024-07-21,6546
2024-07-22,9299
2024-07-23,9337
2024-07-24,9321
2024-07-25,9557
2024-07-26,8374
2024-07-27,6794
2024-07-28,6702
2024-07-29,9733
2024-07-30,9627
2024-07-31,10187
2024-08-01,9631
2024-08-02,9036
2024-08-03,6660
2024-08-04,6508
2024-08-05,9601
2024-08-06,9747
2024-08-07,9230
2024-08-08,9533
2024-08-09,8873
2024-08-10,6659
2024-08-11,6153
2024-08-12,8694
2024-08-13,10404
2024-08-14,9937
2024-08-15,8852
2024-08-16,7997
2024-08-17,6594
2024-08-18,6233
2024-08-19,9735
2024-08-20,9686
2024-08-21,10417
2024-08-22,9101
2024-08-23,7874
2024-08-24,6669
2024-08-25,6071
2024-08-26,9107
2024-08-27,9516
2024-08-28,9810
2024-08-29,9138
2024-08-30,8403
2024-08-31,6259
2024-09-01,6202
2024-09-02,10132
2024-09-03,9301
2024-09-04,9823
2024-09-05,8979
2024-09-06,8457
2024-09-07,6287
2024-09-08,6153
2024-09-09,9753
2024-09-10,9766
2024-09-11,9465
2024-09-12,9078
2024-09-13,8541
2024-09-14,6567
2024-09-15,6331
2024-09-16,9337
2024-09-17,9575
2024-09-18,9404
2024-09-19,9335
2024-09-20,8992
2024-09-21,6117
2024-09-22,6371
2024-09-23,9398
2024-09-24,9683
2024-09-25,9565
2024-09-26,9544
2024-09-27,9254
2024-09-28,6390
2024-09-29,6033
2024-09-30,9474
2024-10-01,10020
2024-10-02,9375
2024-10-03,8949
2024-10-04,8978
2024-10-05,6517
2024-10-06,5891
2024-10-07,9621
2024-10-08,9861
2024-10-09,9879
2024-10-10,9703
2024-10-11,9276
2024-10-12,6206
2024-10-13,5852
2024-10-14,10017
2024-10-15,9722
2024-10-16,9793
2024-10-17,9507
2024-10-18,8471
2024-10-19,6992
2024-10-20,6269
2024-10-21,9772
2024-10-22,10327
2024-10-23,10407
2024-10-24,10178
2024-10-25,8885
2024-10-26,6915
2024-10-27,6258
2024-10-28,9608
2024-10-29,9691
2024-10-30,10434
2024-10-31,9518
2024-11-01,9199
2024-11-02,6840
2024-11-03,5999
2024-11-04,9759
2024-11-05,9446
2024-11-06,9232
2024-11-07,9541
2024-11-08,9184
2024-11-09,7187
2024-11-10,6711
2024-11-11,9715
2024-11-12,10451
2024-11-13,9541
2024-11-14,9234
2024-11-15,8534
2024-11-16,6348
2024-11-17,6698
2024-11-18,10144
2024-11-19,9362
2024-11-20,10191
2024-11-21,9280
2024-11-22,8805
2024-11-23,6734
2024-11-24,6272
2024-11-25,10190
2024-11-26,10336
2024-11-27,10732
2024-11-28,10596
2024-11-29,9171
2024-11-30,7107
2024-12-01,6428
2024-12-02,9922
2024-12-03,9901
2024-12-04,10134
2024-12-05,9909
2024-12-06,9585
2024-12-07,7260
2024-12-08,6836
2024-12-09,10999
2024-12-10,11277
2024-12-11,10056
2024-12-12,10113
2024-12-13,9818
2024-12-14,7433
2024-12-15,6460
2024-12-16,10065
2024-12-17,10698
2024-12-18,11363
2024-12-19,10017
2024-12-20,9870
2024-12-21,7039
2024-12-22,6304
2024-12-23,10791
2024-12-24,10786
2024-12-25,10535
2024-12-26,10764
2024-12-27,10021
2024-12-28,7226
2024-12-29,7160
2024-12-30,10632
2024-12-31,10937
2025-01-01,11246
2025-01-02,10888
2025-01-03,9690
2025-01-04,7340
2025-01-05,7247
2025-01-06,10142
2025-01-07,11711
2025-01-08,11363
2025-01-09,10728
2025-01-10,10330
