date,revenue
2020-01-01,40933.43
2020-02-01,36543.75
2020-03-01,40629.69
2020-04-01,42187.18
2020-05-01,47214.57
2020-06-01,44957.11
2020-07-01,44541.15
2020-08-01,43343.92
2020-09-01,49250.64
2020-10-01,51412.92
2020-11-01,55194.9
2020-12-01,63838.72
2021-01-01,45907.95
2021-02-01,43933.36
2021-03-01,50494.46
2021-04-01,50402.26
2021-05-01,53906.38
2021-06-01,54172.55
2021-07-01,50106.55
2021-08-01,51216.99
2021-09-01,53388.12
2021-10-01,54909.65
2021-11-01,60729.79
2021-12-01,71927.61
2022-01-01,47358.18
2022-02-01,47848.91
2022-03-01,56826.61
2022-04-01,58055.01
2022-05-01,60861.45
2022-06-01,59742.33
2022-07-01,57193.76
2022-08-01,57530.28
2022-09-01,60516.48
2022-10-01,62978.97
2022-11-01,67706.91
2022-12-01,81314.31
2023-01-01,57279.07
2023-02-01,54827.91
2023-03-01,60569.27
2023-04-01,63433.89
2023-05-01,65972.52
2023-06-01,63709.32
2023-07-01,63487.91
2023-08-01,62591.16
2023-09-01,66892.23
2023-10-01,69300.55
2023-11-01,72889.87
2023-12-01,88564.32
2024-01-01,63393.1
2024-02-01,58811.77
2024-03-01,68120.56
2024-04-01,72411.06
2024-05-01,73909.64
2024-06-01,72244.38
2024-07-01,67950.92
2024-08-01,70205.42
2024-09-01,74154.5
2024-10-01,82319.32
2024-11-01,78955.58
2024-12-01,96350.41
2025-01-01,68902.1
2025-02-01,65160.1
2025-03-01,72316.75
2025-04-01,80167.66
2025-05-01,76250.82
2025-06-01,78784.16
2025-07-01,74220.44
2025-08-01,72848.14
2025-09-01,77520.06
2025-10-01,82516.52
2025-11-01,89613.27
2025-12-01,103579.45
